Order,Combination,ID,logL,deltaL,bp-RELL,p-KH,p-SH,c-ELW,p-AU,rank,rooted_incstance_cluster,is_kept,Combination,final_tree
453,hg19_G5_v1,10,-8243.241686,2.483891928,0.001,0.064,0.636,0.003337052,9.76E-07,49,-,0,MER11s,
454,hg19_G5_v1,98,-8243.353204,2.595409705,0.011,0.186,0.563,0.00829784,0.39246335,50,-,0,MER11s,
455,hg19_G5_v1,80,-8243.358049,2.600254532,0.01,0.188,0.544,0.009383114,0.41387909,51,-,2,MER11s,
456,hg19_G5_v1,79,-8243.393076,2.635282475,0.005,0.185,0.53,0.008725536,0.428799251,52,-,2,MER11s,
457,hg19_G5_v1,81,-8243.393187,2.635393284,0.005,0.185,0.53,0.008724989,0.430740823,53,-,2,MER11s,
458,hg19_G5_v1,91,-8243.430697,2.672903459,0.007,0.178,0.518,0.00744454,0.233987591,54,-,0,MER11s,
459,hg19_G5_v1,74,-8243.431012,2.673218254,0.008,0.178,0.518,0.007442141,0.217423248,55,-,0,MER11s,
460,hg19_G5_v1,97,-8243.49849,2.740695799,0.006,0.187,0.538,0.007619012,0.117512193,56,-,0,MER11s,
461,hg19_G5_v1,95,-8243.498835,2.741041106,0.013,0.187,0.538,0.007615836,0.111697856,57,-,0,MER11s,
462,hg19_G5_v1,90,-8243.558378,2.800584125,0.005,0.175,0.507,0.007562881,0.193599659,58,-,0,MER11s,
463,hg19_G5_v1,78,-8243.558478,2.800683585,0.014,0.175,0.507,0.007561746,0.197568235,59,-,0,MER11s,
464,hg19_G5_v1,82,-8243.574616,2.816821538,0.01,0.172,0.499,0.007392074,0.450147725,60,-,2,MER11s,
465,hg19_G5_v1,83,-8243.574739,2.816945444,0.009,0.172,0.499,0.007391145,0.450820364,61,-,2,MER11s,
466,hg19_G5_v1,33,-8243.670644,2.91284972,0.008,0.162,0.481,0.00728329,0.106755037,62,-,0,MER11s,
467,hg19_G5_v1,37,-8243.695733,2.93793874,0,0.117,0.517,0.003638968,0.104629878,63,-,0,MER11s,
468,hg19_G5_v1,20,-8243.695792,2.937998054,0.001,0.117,0.517,0.003639446,0.103868526,64,-,0,MER11s,
469,hg19_G5_v1,59,-8243.761677,3.003883026,0,0.07,0.53,0.002474438,0.054012826,65,-,0,MER11s,
470,hg19_G5_v1,60,-8243.787421,3.029626706,0,0.064,0.52,0.002544704,0.023439289,66,-,0,MER11s,
471,hg19_G5_v1,111,-8243.794156,3.036362323,0.002,0.062,0.525,0.002537402,0.08210309,67,-,0,MER11s,
